SI_NO,SKU_Codes,Brand_Name,Item_name,Category,Quantities,UQC,ordered_unit,family_key
1.0,GTS-GRA-RIC-26KG,gts bullet (old),rice,grains,26 kg,KG,bags,gts bullet (old) rice
3.0,AMU-DAI-MIL-1KG,amul (powder),milk powder,dairy,1 kg,KG,packets,amul (powder) milk powder
4.0,AMU-DAI-MIL-1LTR,amul (extra fat),milk,dairy,1 ltr,LTR,packets,amul (extra fat) milk
5.0,DAI-DAI-CHO-100GM,dairy milk,chocolate,dairy,100 gm,GM,packs,dairy milk chocolate
6.0,WHI-PER-DIA-1*6PCS,whisper,diaper,personal care,1 * 6 pcs,PCS,packs,whisper diaper
7.0,TAT-SPI-SAL-1KG,tata salt,salt,spices,1 kg,KG,packets,tata salt salt
8.0,FOR-OIL-COO-1LTR,fortune gold,cooking oil,oil & ghee,1 ltr,LTR,bottles,fortune gold cooking oil
9.0,NES-PAC-NOO-280GM,nestlé maggi,noodles,packaged food,280 gm,GM,packets,nestlé maggi noodles
10.0,BRI-BAK-BRE-400GM,britannia,bread,bakery,400 gm,GM,loaves,britannia bread
11.0,PAR-BAK-BIS-300GM,parle-g,biscuits,bakery,300 gm,GM,packs,parle-g biscuits
12.0,COL-PER-TOO-200ML,colgate,toothpaste,personal care,200 ml,ML,tubes,colgate toothpaste
13.0,HAR-HOM-TOI-1LTR,harpic,toilet cleaner,home care,1 ltr,LTR,bottles,harpic toilet cleaner
14.0,SUR-CLE-DET-1KG,surf excel,detergent,cleaning,1 kg,KG,packets,surf excel detergent
15.0,NIV-PER-FAC-100ML,nivea men,face wash,personal care,100 ml,ML,tubes,nivea men face wash
16.0,CAD-BEV-HEA-1KG,cadbury bournvita,health drink,beverages,1 kg,KG,jars,cadbury bournvita health drink
17.0,RED-BEV-TEA-1KG,red label,tea,beverages,1 kg,KG,packets,red label tea
18.0,NES-BEV-COF-200GM,nescafé classic,coffee,beverages,200 gm,GM,jars,nescafé classic coffee
19.0,PEP-BEV-SOF-2LTR,pepsi,soft drink,beverages,2 ltr,LTR,bottles,pepsi soft drink
20.0,COC-BEV-SOF-2LTR,coca-cola,soft drink,beverages,2 ltr,LTR,bottles,coca-cola soft drink
21.0,TRO-BEV-JUI-1LTR,tropicana,juice,beverages,1 ltr,LTR,bottles,tropicana juice
22.0,MDH-SPI-GAR-100GM,mdh,garam masala,spices,100 gm,GM,packets,mdh garam masala
23.0,EVE-SPI-TUR-200GM,everest,turmeric powder,spices,200 gm,GM,packets,everest turmeric powder
24.0,DAB-GRO-HON-500GM,dabur honey,honey,grocery,500 gm,GM,jars,dabur honey honey
25.0,PAT-DAI-GHE-1KG,patanjali,ghee,dairy,1 kg,KG,jars,patanjali ghee
26.0,KIS-PAC-JAM-500GM,kissan,jam,packaged food,500 gm,GM,jars,kissan jam
27.0,KNO-PAC-SOU-100GM,knorr,soup mix,packaged food,100 gm,GM,packets,knorr soup mix
28.0,LAY-SNA-CHI-100GM,lays,chips,snacks,100 gm,GM,packets,lays chips
29.0,KUR-SNA-CHI-100GM,kurkure,chips,snacks,100 gm,GM,packets,kurkure chips
30.0,ORE-SNA-BIS-120GM,oreo,biscuits,snacks,120 gm,GM,packs,oreo biscuits
31.0,LUX-PER-SOA-PACKOF4,lux,soap,personal care,Pack of 4,UNITS,packets,lux soap
32.0,DOV-PER-SHA-180ML,dove,shampoo,personal care,180 ml,ML,packets,dove shampoo
33.0,SUN-PER-CON-100ML,sunsilk,conditioner,personal care,100 ml,ML,packets,sunsilk conditioner
34.0,GAR-PER-FAC-50GM,garnier,face cream,personal care,50 gm,GM,packets,garnier face cream
35.0,LOR-PER-HAI-100ML,loreal paris,hair serum,personal care,100 ml,ML,packets,loreal paris hair serum
36.0,PAM-BAB-BAB-1*56PCS,pampers,baby diaper,baby care,1 * 56 pcs,PCS,packs,pampers baby diaper
37.0,HUG-BAB-BAB-1*72PCS,huggies,baby wipes,baby care,1 * 72 pcs,PCS,packets,huggies baby wipes
